"TA-TAD","Property_Type","House_Index","Date"
"Masterton District","Houses","1532","2011-06-30"
"Carterton District","Houses","1660","2011-06-30"
"Carterton District","All dwellings","1676","2011-06-30"
"South Wairarapa District","Houses","1599","2011-06-30"
"South Wairarapa District","All dwellings","1606","2011-06-30"
"Tasman District","All dwellings","1176","2011-06-30"
"Tasman District","Houses","1188","2011-06-30"
"Nelson City","Houses","1135","2011-06-30"
"Nelson City","All dwellings","1140","2011-06-30"
"Marlborough District","All dwellings","1295","2011-06-30"
"Marlborough District","Houses","1303","2011-06-30"
"Kaikoura District","Houses","1240","2011-06-30"
"Kaikoura District","All dwellings","1305","2011-06-30"
"Buller District","Houses","2078","2011-06-30"
"Buller District","All dwellings","2225","2011-06-30"
"Grey District","All dwellings","2212","2011-06-30"
"Grey District","Houses","2236","2011-06-30"
"Westland District","All dwellings","2155","2011-06-30"
"Westland District","Houses","2216","2011-06-30"
"Hurunui District","Houses","1773","2011-06-30"
"Hurunui District","All dwellings","1793","2011-06-30"
"Waimakariri District","Houses","1643","2011-06-30"
"Waimakariri District","All dwellings","1645","2011-06-30"
"Christchurch City","Houses","1579","2011-06-30"
"Christchurch City","All dwellings","1580","2011-06-30"
"Selwyn District","Houses","1931","2011-06-30"
"Selwyn District","All dwellings","2047","2011-06-30"
"Ashburton District","All dwellings","1808","2011-06-30"
"Ashburton District","Houses","1842","2011-06-30"
"Timaru District","All dwellings","1815","2011-06-30"
"Timaru District","Houses","1880","2011-06-30"
"MacKenzie District","All dwellings","1836","2011-06-30"
"MacKenzie District","Houses","1836","2011-06-30"
"Waimate District","All dwellings","2009","2011-06-30"
"Waimate District","Houses","2079","2011-06-30"
"Waitaki District","All dwellings","1498","2011-06-30"
"Waitaki District","Houses","1607","2011-06-30"
"New Zealand","All dwellings","1472","2011-09-30"
"New Zealand","Houses","1481","2011-09-30"
"Main Urban Areas","All dwellings","1439","2011-09-30"
"Main Urban Areas","Houses","1444","2011-09-30"
"Auckland Area","Houses","1376","2011-09-30"
"Auckland Area","All dwellings","1386","2011-09-30"
"Wellington Area","All dwellings","1457","2011-09-30"
"Wellington Area","Houses","1479","2011-09-30"
"Far North District","Houses","1418","2011-09-30"
"Far North District","All dwellings","1482","2011-09-30"
"Whangarei District","All dwellings","1535","2011-09-30"
"Whangarei District","Houses","1553","2011-09-30"
"Kaipara District","All dwellings","1598","2011-09-30"
"Kaipara District","Houses","1710","2011-09-30"
"Rodney District","Houses","1442","2011-09-30"
"Rodney District","All dwellings","1445","2011-09-30"
"North Shore City","Houses","1446","2011-09-30"
"North Shore City","All dwellings","1454","2011-09-30"
"Waitakere City","All dwellings","1453","2011-09-30"
"Waitakere City","Houses","1457","2011-09-30"
"Auckland City","All dwellings","1322","2011-09-30"
"Auckland City","Houses","1354","2011-09-30"
"Manukau City","Houses","1471","2011-09-30"
"Manukau City","All dwellings","1482","2011-09-30"
"Papakura District","Houses","1414","2011-09-30"
"Papakura District","All dwellings","1472","2011-09-30"
"Franklin District","Houses","1655","2011-09-30"
"Franklin District","All dwellings","1658","2011-09-30"
"Thames-Coromandel District","All dwellings","1255","2011-09-30"
"Thames-Coromandel District","Houses","1291","2011-09-30"
"Hauraki District","All dwellings","1706","2011-09-30"
"Hauraki District","Houses","1713","2011-09-30"
"Waikato District","All dwellings","1642","2011-09-30"
"Waikato District","Houses","1649","2011-09-30"
"Matamata-Piako District","All dwellings","1730","2011-09-30"
"Matamata-Piako District","Houses","1787","2011-09-30"
"Hamilton City","All dwellings","1588","2011-09-30"
"Hamilton City","Houses","1618","2011-09-30"
"Waipa District","All dwellings","1755","2011-09-30"
"Waipa District","Houses","1795","2011-09-30"
"Otorohanga District","Houses","1850","2011-09-30"
"Otorohanga District","All dwellings","1943","2011-09-30"
"South Waikato District","All dwellings","2146","2011-09-30"
"South Waikato District","Houses","2183","2011-09-30"
"Waitomo District","All dwellings","1650","2011-09-30"
"Waitomo District","Houses","1693","2011-09-30"
"Taupo District","All dwellings","1158","2011-09-30"
"Taupo District","Houses","1235","2011-09-30"
"Western Bay of Plenty District","All dwellings","1493","2011-09-30"
"Western Bay of Plenty District","Houses","1580","2011-09-30"
"Tauranga City","Houses","1286","2011-09-30"
"Tauranga City","All dwellings","1307","2011-09-30"
"Rotorua District","All dwellings","1588","2011-09-30"
"Rotorua District","Houses","1620","2011-09-30"
"Whakatane District","Houses","1473","2011-09-30"
"Whakatane District","All dwellings","1575","2011-09-30"
"Kawerau District","Houses","1790","2011-09-30"
"Kawerau District","All dwellings","1870","2011-09-30"
"Opotiki District","Houses","1449","2011-09-30"
"Opotiki District","All dwellings","1819","2011-09-30"
"Gisborne District","All dwellings","1786","2011-09-30"
"Gisborne District","Houses","1884","2011-09-30"
"Wairoa District","All dwellings","1546","2011-09-30"
"Wairoa District","Houses","1619","2011-09-30"
"Hastings District","Houses","1404","2011-09-30"
"Hastings District","All dwellings","1412","2011-09-30"
"Napier City","Houses","1314","2011-09-30"
"Napier City","All dwellings","1324","2011-09-30"
"Central Hawkes Bay District","Houses","1362","2011-09-30"
"Central Hawkes Bay District","All dwellings","1376","2011-09-30"
"New Plymouth District","Houses","1679","2011-09-30"
"New Plymouth District","All dwellings","1712","2011-09-30"
"Stratford District","All dwellings","2505","2011-09-30"
"Stratford District","Houses","2625","2011-09-30"
"South Taranaki District","All dwellings","1978","2011-09-30"
"South Taranaki District","Houses","2026","2011-09-30"
"Ruapehu District","Houses","2192","2011-09-30"
"Ruapehu District","All dwellings","2210","2011-09-30"
"Wanganui District","All dwellings","1872","2011-09-30"
"Wanganui District","Houses","1979","2011-09-30"
"Rangitikei District","All dwellings","1894","2011-09-30"
"Rangitikei District","Houses","1908","2011-09-30"
"Manawatu District","Houses","1675","2011-09-30"
"Manawatu District","All dwellings","1679","2011-09-30"
"Palmerston North City","All dwellings","1527","2011-09-30"
"Palmerston North City","Houses","1533","2011-09-30"
"Tararua District","All dwellings","1820","2011-09-30"
"Tararua District","Houses","1892","2011-09-30"
"Horowhenua District","All dwellings","1656","2011-09-30"
"Horowhenua District","Houses","1678","2011-09-30"
"Kapiti Coast District","All dwellings","1554","2011-09-30"
"Kapiti Coast District","Houses","1574","2011-09-30"
"Porirua City","All dwellings","1562","2011-09-30"
"Porirua City","Houses","1582","2011-09-30"
"Upper Hutt City","Houses","1606","2011-09-30"
"Upper Hutt City","All dwellings","1648","2011-09-30"
"Lower Hutt City","All dwellings","1530","2011-09-30"
"Lower Hutt City","Houses","1535","2011-09-30"
"Wellington City","All dwellings","1387","2011-09-30"
"Wellington City","Houses","1427","2011-09-30"
"Masterton District","All dwellings","1541","2011-09-30"
"Masterton District","Houses","1564","2011-09-30"
"Carterton District","Houses","1605","2011-09-30"
"Carterton District","All dwellings","1623","2011-09-30"
"South Wairarapa District","Houses","1564","2011-09-30"
"South Wairarapa District","All dwellings","1572","2011-09-30"
"Tasman District","All dwellings","1180","2011-09-30"
"Tasman District","Houses","1193","2011-09-30"
"Nelson City","Houses","1153","2011-09-30"
"Nelson City","All dwellings","1155","2011-09-30"
"Marlborough District","All dwellings","1312","2011-09-30"
"Marlborough District","Houses","1316","2011-09-30"
"Kaikoura District","Houses","1288","2011-09-30"
"Kaikoura District","All dwellings","1298","2011-09-30"
"Buller District","Houses","2133","2011-09-30"
"Buller District","All dwellings","2296","2011-09-30"
"Grey District","All dwellings","2163","2011-09-30"
"Grey District","Houses","2182","2011-09-30"
"Westland District","All dwellings","2164","2011-09-30"
"Westland District","Houses","2225","2011-09-30"
"Hurunui District","Houses","1802","2011-09-30"
"Hurunui District","All dwellings","1825","2011-09-30"
"Waimakariri District","All dwellings","1687","2011-09-30"
"Waimakariri District","Houses","1689","2011-09-30"
"Christchurch City","All dwellings","1612","2011-09-30"
"Christchurch City","Houses","1616","2011-09-30"
"Selwyn District","Houses","1961","2011-09-30"
"Selwyn District","All dwellings","2078","2011-09-30"
"Ashburton District","All dwellings","1805","2011-09-30"
"Ashburton District","Houses","1846","2011-09-30"
"Timaru District","All dwellings","1840","2011-09-30"
"Timaru District","Houses","1896","2011-09-30"
"MacKenzie District","Houses","1839","2011-09-30"
"MacKenzie District","All dwellings","1858","2011-09-30"
"Waimate District","All dwellings","1992","2011-09-30"
"Waimate District","Houses","2056","2011-09-30"
"Waitaki District","All dwellings","1545","2011-09-30"
"Waitaki District","Houses","1660","2011-09-30"
"Invercargill City","All dwellings","1701","2011-09-30"
"Gore District","Houses","1953","2011-09-30"
"Clutha District","All dwellings","1950","2011-09-30"
"Clutha District","Houses","1903","2011-09-30"
"Central Otago District","All dwellings","1382","2011-09-30"
"Gore District","All dwellings","1918","2011-09-30"
"Southland District","All dwellings","1707","2011-09-30"
"Queenstown-Lakes District","Houses","1145","2011-09-30"
"Dunedin City","Houses","1422","2011-09-30"
"Central Otago District","Houses","1331","2011-09-30"
"Southland District","Houses","1745","2011-09-30"
"Queenstown-Lakes District","All dwellings","1171","2011-09-30"
"Invercargill City","Houses","1697","2011-09-30"
"Dunedin City","All dwellings","1480","2011-09-30"
"Clutha District","Houses","1863","2011-12-31"
"Southland District","Houses","1738","2011-12-31"
"Central Otago District","Houses","1372","2011-12-31"
"Invercargill City","Houses","1720","2011-12-31"
"Dunedin City","Houses","1449","2011-12-31"
"Dunedin City","All dwellings","1509","2011-12-31"
"Gore District","Houses","1947","2011-12-31"
"Queenstown-Lakes District","Houses","1122","2011-12-31"
"Gore District","All dwellings","1918","2011-12-31"
"Invercargill City","All dwellings","1707","2011-12-31"
"Southland District","All dwellings","1705","2011-12-31"
"Clutha District","All dwellings","1904","2011-12-31"
"Central Otago District","All dwellings","1426","2011-12-31"
"Queenstown-Lakes District","All dwellings","1148","2011-12-31"
"New Zealand","All dwellings","1474","2011-12-31"
"New Zealand","Houses","1486","2011-12-31"
"Main Urban Areas","All dwellings","1444","2011-12-31"
"Main Urban Areas","Houses","1452","2011-12-31"
"Auckland Area","Houses","1384","2011-12-31"
"Auckland Area","All dwellings","1390","2011-12-31"
"Wellington Area","All dwellings","1472","2011-12-31"
"Wellington Area","Houses","1495","2011-12-31"
"Far North District","Houses","1393","2011-12-31"
"Far North District","All dwellings","1467","2011-12-31"
"Whangarei District","All dwellings","1534","2011-12-31"
"Whangarei District","Houses","1553","2011-12-31"
"Kaipara District","All dwellings","1576","2011-12-31"
"Kaipara District","Houses","1687","2011-12-31"
"Rodney District","All dwellings","1453","2011-12-31"
"Rodney District","Houses","1458","2011-12-31"
"North Shore City","Houses","1450","2011-12-31"
"North Shore City","All dwellings","1459","2011-12-31"
"Waitakere City","All dwellings","1455","2011-12-31"
"Waitakere City","Houses","1463","2011-12-31"
"Auckland City","All dwellings","1323","2011-12-31"
"Auckland City","Houses","1358","2011-12-31"
"Manukau City","Houses","1471","2011-12-31"
"Manukau City","All dwellings","1482","2011-12-31"
"Papakura District","Houses","1428","2011-12-31"
"Papakura District","All dwellings","1487","2011-12-31"
"Franklin District","Houses","1657","2011-12-31"
"Franklin District","All dwellings","1668","2011-12-31"
"Thames-Coromandel District","All dwellings","1260","2011-12-31"
"Thames-Coromandel District","Houses","1289","2011-12-31"
"Hauraki District","All dwellings","1704","2011-12-31"
"Hauraki District","Houses","1712","2011-12-31"
"Waikato District","All dwellings","1613","2011-12-31"
"Waikato District","Houses","1621","2011-12-31"
"Matamata-Piako District","All dwellings","1740","2011-12-31"
"Matamata-Piako District","Houses","1806","2011-12-31"
"Hamilton City","All dwellings","1572","2011-12-31"
"Hamilton City","Houses","1604","2011-12-31"
"Waipa District","All dwellings","1723","2011-12-31"
"Waipa District","Houses","1742","2011-12-31"
"Otorohanga District","Houses","1899","2011-12-31"
"Otorohanga District","All dwellings","1931","2011-12-31"
"South Waikato District","All dwellings","2014","2011-12-31"
"South Waikato District","Houses","2066","2011-12-31"
"Waitomo District","All dwellings","1663","2011-12-31"
"Waitomo District","Houses","1698","2011-12-31"
"Taupo District","All dwellings","1152","2011-12-31"
"Taupo District","Houses","1228","2011-12-31"
"Western Bay of Plenty District","All dwellings","1423","2011-12-31"
"Western Bay of Plenty District","Houses","1505","2011-12-31"
"Tauranga City","Houses","1283","2011-12-31"
"Tauranga City","All dwellings","1309","2011-12-31"
"Rotorua District","All dwellings","1561","2011-12-31"
"Rotorua District","Houses","1595","2011-12-31"
"Whakatane District","Houses","1453","2011-12-31"
"Whakatane District","All dwellings","1501","2011-12-31"
"Kawerau District","All dwellings","1819","2011-12-31"
"Kawerau District","Houses","1825","2011-12-31"
"Opotiki District","Houses","1357","2011-12-31"
"Opotiki District","All dwellings","1703","2011-12-31"
"Gisborne District","All dwellings","1696","2011-12-31"
"Gisborne District","Houses","1778","2011-12-31"
"Wairoa District","All dwellings","1684","2011-12-31"
"Wairoa District","Houses","1764","2011-12-31"
"Hastings District","Houses","1409","2011-12-31"
"Hastings District","All dwellings","1427","2011-12-31"
"Napier City","Houses","1301","2011-12-31"
"Napier City","All dwellings","1303","2011-12-31"
"Central Hawkes Bay District","Houses","1346","2011-12-31"
"Central Hawkes Bay District","All dwellings","1360","2011-12-31"
"New Plymouth District","Houses","1694","2011-12-31"
"New Plymouth District","All dwellings","1714","2011-12-31"
"Stratford District","All dwellings","2304","2011-12-31"
"Stratford District","Houses","2444","2011-12-31"
"South Taranaki District","All dwellings","2044","2011-12-31"
"South Taranaki District","Houses","2100","2011-12-31"
"Ruapehu District","All dwellings","2036","2011-12-31"
"Ruapehu District","Houses","2047","2011-12-31"
"Wanganui District","All dwellings","1861","2011-12-31"
"Wanganui District","Houses","1969","2011-12-31"
"Rangitikei District","All dwellings","1910","2011-12-31"
"Rangitikei District","Houses","1938","2011-12-31"
"Manawatu District","Houses","1673","2011-12-31"
"Manawatu District","All dwellings","1690","2011-12-31"
"Palmerston North City","All dwellings","1537","2011-12-31"
"Palmerston North City","Houses","1542","2011-12-31"
"Tararua District","All dwellings","1825","2011-12-31"
"Tararua District","Houses","1898","2011-12-31"
"Horowhenua District","All dwellings","1677","2011-12-31"
"Horowhenua District","Houses","1702","2011-12-31"
"Kapiti Coast District","All dwellings","1546","2011-12-31"
"Kapiti Coast District","Houses","1559","2011-12-31"
"Porirua City","All dwellings","1601","2011-12-31"
"Porirua City","Houses","1620","2011-12-31"
"Upper Hutt City","Houses","1621","2011-12-31"
"Upper Hutt City","All dwellings","1663","2011-12-31"
"Lower Hutt City","All dwellings","1520","2011-12-31"
"Lower Hutt City","Houses","1532","2011-12-31"
"Wellington City","All dwellings","1407","2011-12-31"
"Wellington City","Houses","1444","2011-12-31"
"Masterton District","All dwellings","1517","2011-12-31"
"Masterton District","Houses","1534","2011-12-31"
"Carterton District","Houses","1641","2011-12-31"
"Carterton District","All dwellings","1677","2011-12-31"
"South Wairarapa District","All dwellings","1527","2011-12-31"
"South Wairarapa District","Houses","1529","2011-12-31"
"Tasman District","All dwellings","1175","2011-12-31"
"Tasman District","Houses","1188","2011-12-31"
"Nelson City","Houses","1156","2011-12-31"
"Nelson City","All dwellings","1162","2011-12-31"
"Marlborough District","Houses","1283","2011-12-31"
"Marlborough District","All dwellings","1283","2011-12-31"
"Kaikoura District","Houses","1295","2011-12-31"
"Kaikoura District","All dwellings","1313","2011-12-31"
"Buller District","Houses","2200","2011-12-31"
"Buller District","All dwellings","2339","2011-12-31"
"Grey District","All dwellings","2069","2011-12-31"
"Grey District","Houses","2091","2011-12-31"
"Westland District","All dwellings","2147","2011-12-31"
"Westland District","Houses","2194","2011-12-31"
"Hurunui District","Houses","1820","2011-12-31"
"Hurunui District","All dwellings","1834","2011-12-31"
"Waimakariri District","All dwellings","1751","2011-12-31"
"Waimakariri District","Houses","1752","2011-12-31"
"Christchurch City","All dwellings","1632","2011-12-31"
"Christchurch City","Houses","1639","2011-12-31"
"Selwyn District","Houses","2037","2011-12-31"
"Selwyn District","All dwellings","2158","2011-12-31"
"Ashburton District","All dwellings","1843","2011-12-31"
"Ashburton District","Houses","1889","2011-12-31"
"Timaru District","All dwellings","1874","2011-12-31"
"Timaru District","Houses","1946","2011-12-31"
"MacKenzie District","Houses","1754","2011-12-31"
"MacKenzie District","All dwellings","1772","2011-12-31"
"Waimate District","All dwellings","1900","2011-12-31"
"Waimate District","Houses","1964","2011-12-31"
"Waitaki District","All dwellings","1576","2011-12-31"
"Waitaki District","Houses","1695","2011-12-31"
"New Zealand","All dwellings","1488","2012-03-31"
"New Zealand","Houses","1500","2012-03-31"
"Main Urban Areas","All dwellings","1460","2012-03-31"
"Main Urban Areas","Houses","1468","2012-03-31"
"Auckland Area","Houses","1405","2012-03-31"
"Auckland Area","All dwellings","1411","2012-03-31"
"Wellington Area","All dwellings","1481","2012-03-31"
"Wellington Area","Houses","1500","2012-03-31"
"Far North District","Houses","1428","2012-03-31"
"Far North District","All dwellings","1492","2012-03-31"
"Whangarei District","All dwellings","1537","2012-03-31"
"Whangarei District","Houses","1559","2012-03-31"
"Kaipara District","All dwellings","1485","2012-03-31"
"Kaipara District","Houses","1583","2012-03-31"
"Rodney District","Houses","1476","2012-03-31"
"Rodney District","All dwellings","1476","2012-03-31"
"North Shore City","Houses","1469","2012-03-31"
"North Shore City","All dwellings","1477","2012-03-31"
"Waitakere City","All dwellings","1471","2012-03-31"
"Waitakere City","Houses","1481","2012-03-31"
"Auckland City","All dwellings","1351","2012-03-31"
"Auckland City","Houses","1388","2012-03-31"
"Manukau City","Houses","1494","2012-03-31"
"Manukau City","All dwellings","1501","2012-03-31"
"Papakura District","Houses","1445","2012-03-31"
"Papakura District","All dwellings","1507","2012-03-31"
"Franklin District","Houses","1681","2012-03-31"
"Franklin District","All dwellings","1684","2012-03-31"
"Thames-Coromandel District","All dwellings","1270","2012-03-31"
"Thames-Coromandel District","Houses","1298","2012-03-31"
"Hauraki District","Houses","1731","2012-03-31"
"Hauraki District","All dwellings","1732","2012-03-31"
"Waikato District","All dwellings","1594","2012-03-31"
"Waikato District","Houses","1601","2012-03-31"
"Matamata-Piako District","All dwellings","1752","2012-03-31"
"Matamata-Piako District","Houses","1827","2012-03-31"
"Hamilton City","All dwellings","1596","2012-03-31"
"Hamilton City","Houses","1625","2012-03-31"
"Waipa District","All dwellings","1742","2012-03-31"
"Waipa District","Houses","1768","2012-03-31"
"Otorohanga District","Houses","1839","2012-03-31"
"Otorohanga District","All dwellings","1855","2012-03-31"
"South Waikato District","All dwellings","2002","2012-03-31"
"South Waikato District","Houses","2071","2012-03-31"
"Waitomo District","All dwellings","1642","2012-03-31"
"Waitomo District","Houses","1682","2012-03-31"
"Taupo District","All dwellings","1157","2012-03-31"
"Taupo District","Houses","1232","2012-03-31"
"Western Bay of Plenty District","All dwellings","1425","2012-03-31"
"Western Bay of Plenty District","Houses","1510","2012-03-31"
"Tauranga City","Houses","1282","2012-03-31"
"Tauranga City","All dwellings","1303","2012-03-31"
"Rotorua District","All dwellings","1555","2012-03-31"
"Rotorua District","Houses","1588","2012-03-31"
"Whakatane District","Houses","1479","2012-03-31"
"Whakatane District","All dwellings","1552","2012-03-31"
"Kawerau District","All dwellings","1787","2012-03-31"
"Kawerau District","Houses","1793","2012-03-31"
"Opotiki District","Houses","1355","2012-03-31"
"Opotiki District","All dwellings","1739","2012-03-31"
"Gisborne District","All dwellings","1672","2012-03-31"
"Gisborne District","Houses","1769","2012-03-31"
"Wairoa District","All dwellings","1640","2012-03-31"
"Wairoa District","Houses","1717","2012-03-31"
"Hastings District","Houses","1400","2012-03-31"
"Hastings District","All dwellings","1418","2012-03-31"
"Napier City","All dwellings","1304","2012-03-31"
"Napier City","Houses","1304","2012-03-31"
"Central Hawkes Bay District","Houses","1414","2012-03-31"
"Central Hawkes Bay District","All dwellings","1429","2012-03-31"
"New Plymouth District","Houses","1706","2012-03-31"
"New Plymouth District","All dwellings","1729","2012-03-31"
"Stratford District","All dwellings","2412","2012-03-31"
"Stratford District","Houses","2533","2012-03-31"
"South Taranaki District","All dwellings","2061","2012-03-31"
"South Taranaki District","Houses","2116","2012-03-31"
"Ruapehu District","All dwellings","2186","2012-03-31"
"Ruapehu District","Houses","2222","2012-03-31"
"Wanganui District","All dwellings","1859","2012-03-31"
"Wanganui District","Houses","1966","2012-03-31"
"Rangitikei District","All dwellings","1938","2012-03-31"
"Rangitikei District","Houses","1960","2012-03-31"
"Manawatu District","Houses","1725","2012-03-31"
"Manawatu District","All dwellings","1736","2012-03-31"
"Palmerston North City","All dwellings","1544","2012-03-31"
"Palmerston North City","Houses","1551","2012-03-31"
"Tararua District","All dwellings","1827","2012-03-31"
"Tararua District","Houses","1901","2012-03-31"
"Horowhenua District","All dwellings","1633","2012-03-31"
"Horowhenua District","Houses","1645","2012-03-31"
"Kapiti Coast District","All dwellings","1568","2012-03-31"
"Kapiti Coast District","Houses","1585","2012-03-31"
"Porirua City","All dwellings","1578","2012-03-31"
"Porirua City","Houses","1595","2012-03-31"
"Upper Hutt City","Houses","1621","2012-03-31"
"Upper Hutt City","All dwellings","1664","2012-03-31"
"Lower Hutt City","All dwellings","1546","2012-03-31"
"Lower Hutt City","Houses","1549","2012-03-31"
"Wellington City","All dwellings","1414","2012-03-31"
"Wellington City","Houses","1450","2012-03-31"
"Masterton District","All dwellings","1502","2012-03-31"
"Masterton District","Houses","1528","2012-03-31"
"Carterton District","Houses","1595","2012-03-31"
"Carterton District","All dwellings","1628","2012-03-31"
"South Wairarapa District","Houses","1644","2012-03-31"
"South Wairarapa District","All dwellings","1651","2012-03-31"
"Tasman District","All dwellings","1177","2012-03-31"
"Tasman District","Houses","1189","2012-03-31"
"Nelson City","Houses","1167","2012-03-31"
"Nelson City","All dwellings","1171","2012-03-31"
"Marlborough District","All dwellings","1300","2012-03-31"
"Marlborough District","Houses","1300","2012-03-31"
"Kaikoura District","Houses","1226","2012-03-31"
"Kaikoura District","All dwellings","1254","2012-03-31"
"Buller District","Houses","2232","2012-03-31"
"Buller District","All dwellings","2403","2012-03-31"
"Grey District","All dwellings","2108","2012-03-31"
"Grey District","Houses","2120","2012-03-31"
"Westland District","All dwellings","2099","2012-03-31"
"Westland District","Houses","2158","2012-03-31"
"Hurunui District","Houses","1819","2012-03-31"
"Hurunui District","All dwellings","1837","2012-03-31"
"Waimakariri District","All dwellings","1819","2012-03-31"
"Waimakariri District","Houses","1824","2012-03-31"
"Christchurch City","All dwellings","1647","2012-03-31"
"Christchurch City","Houses","1656","2012-03-31"
"Selwyn District","Houses","2076","2012-03-31"
"Selwyn District","All dwellings","2198","2012-03-31"
"Ashburton District","All dwellings","1924","2012-03-31"
"Ashburton District","Houses","1965","2012-03-31"
"Timaru District","All dwellings","1869","2012-03-31"
"Timaru District","Houses","1926","2012-03-31"
"MacKenzie District","Houses","1766","2012-03-31"
"MacKenzie District","All dwellings","1793","2012-03-31"
"Waimate District","All dwellings","1998","2012-03-31"
"Waimate District","Houses","2069","2012-03-31"
"Waitaki District","All dwellings","1563","2012-03-31"
"Waitaki District","Houses","1681","2012-03-31"
"Southland District","All dwellings","1725","2012-03-31"
"Queenstown-Lakes District","All dwellings","1155","2012-03-31"
"Invercargill City","Houses","1731","2012-03-31"
"Dunedin City","All dwellings","1505","2012-03-31"
"Invercargill City","All dwellings","1727","2012-03-31"
"Queenstown-Lakes District","Houses","1132","2012-03-31"
"Dunedin City","Houses","1448","2012-03-31"
"Gore District","All dwellings","2022","2012-03-31"
"Gore District","Houses","2077","2012-03-31"
"Clutha District","All dwellings","1847","2012-03-31"
"Clutha District","Houses","1806","2012-03-31"
"Central Otago District","Houses","1376","2012-03-31"
"Southland District","Houses","1758","2012-03-31"
"Central Otago District","All dwellings","1428","2012-03-31"
"Dunedin City","All dwellings","1530","2012-06-30"
"Dunedin City","Houses","1472","2012-06-30"
"Southland District","Houses","1745","2012-06-30"
"Queenstown-Lakes District","All dwellings","1189","2012-06-30"
"Invercargill City","Houses","1712","2012-06-30"
"Invercargill City","All dwellings","1707","2012-06-30"
"Clutha District","All dwellings","1911","2012-06-30"
"Central Otago District","All dwellings","1429","2012-06-30"
"Queenstown-Lakes District","Houses","1160","2012-06-30"
"Central Otago District","Houses","1387","2012-06-30"
"Gore District","Houses","2000","2012-06-30"
"Southland District","All dwellings","1708","2012-06-30"
"Gore District","All dwellings","1954","2012-06-30"
"Clutha District","Houses","1885","2012-06-30"
"New Zealand","All dwellings","1511","2012-06-30"
"New Zealand","Houses","1523","2012-06-30"
"Main Urban Areas","All dwellings","1487","2012-06-30"
"Main Urban Areas","Houses","1495","2012-06-30"
"Auckland Area","Houses","1436","2012-06-30"
"Auckland Area","All dwellings","1444","2012-06-30"
"Wellington Area","All dwellings","1470","2012-06-30"
"Wellington Area","Houses","1493","2012-06-30"
"Far North District","Houses","1379","2012-06-30"
"Far North District","All dwellings","1454","2012-06-30"
"Whangarei District","All dwellings","1525","2012-06-30"
"Whangarei District","Houses","1546","2012-06-30"
"Kaipara District","All dwellings","1505","2012-06-30"
"Kaipara District","Houses","1603","2012-06-30"
"Rodney District","Houses","1476","2012-06-30"
"Rodney District","All dwellings","1476","2012-06-30"
"North Shore City","Houses","1500","2012-06-30"
"North Shore City","All dwellings","1510","2012-06-30"
"Waitakere City","All dwellings","1500","2012-06-30"
"Waitakere City","Houses","1505","2012-06-30"
"Auckland City","All dwellings","1389","2012-06-30"
"Auckland City","Houses","1425","2012-06-30"
"Manukau City","Houses","1532","2012-06-30"
"Manukau City","All dwellings","1539","2012-06-30"
"Papakura District","Houses","1457","2012-06-30"
"Papakura District","All dwellings","1514","2012-06-30"
"Franklin District","Houses","1688","2012-06-30"
"Franklin District","All dwellings","1696","2012-06-30"
"Thames-Coromandel District","All dwellings","1281","2012-06-30"
"Thames-Coromandel District","Houses","1322","2012-06-30"
"Hauraki District","All dwellings","1747","2012-06-30"
"Hauraki District","Houses","1756","2012-06-30"
"Waikato District","All dwellings","1607","2012-06-30"
"Waikato District","Houses","1624","2012-06-30"
"Matamata-Piako District","All dwellings","1738","2012-06-30"
"Matamata-Piako District","Houses","1796","2012-06-30"
"Hamilton City","All dwellings","1607","2012-06-30"
"Hamilton City","Houses","1639","2012-06-30"
"Waipa District","All dwellings","1768","2012-06-30"
"Waipa District","Houses","1791","2012-06-30"
"Otorohanga District","Houses","1941","2012-06-30"
"Otorohanga District","All dwellings","1982","2012-06-30"
"South Waikato District","All dwellings","2009","2012-06-30"
"South Waikato District","Houses","2074","2012-06-30"
"Waitomo District","All dwellings","1749","2012-06-30"
"Waitomo District","Houses","1795","2012-06-30"
"Taupo District","All dwellings","1153","2012-06-30"
"Taupo District","Houses","1220","2012-06-30"
"Western Bay of Plenty District","All dwellings","1400","2012-06-30"
"Western Bay of Plenty District","Houses","1482","2012-06-30"
"Tauranga City","Houses","1289","2012-06-30"
"Tauranga City","All dwellings","1313","2012-06-30"
"Rotorua District","All dwellings","1552","2012-06-30"
"Rotorua District","Houses","1587","2012-06-30"
"Whakatane District","Houses","1414","2012-06-30"
"Whakatane District","All dwellings","1503","2012-06-30"
"Kawerau District","All dwellings","1782","2012-06-30"
"Kawerau District","Houses","1788","2012-06-30"
"Opotiki District","Houses","1351","2012-06-30"
"Opotiki District","All dwellings","1696","2012-06-30"
"Gisborne District","All dwellings","1646","2012-06-30"
"Gisborne District","Houses","1745","2012-06-30"
"Wairoa District","All dwellings","1609","2012-06-30"
"Wairoa District","Houses","1685","2012-06-30"
"Hastings District","Houses","1419","2012-06-30"
"Hastings District","All dwellings","1433","2012-06-30"
"Napier City","Houses","1300","2012-06-30"
"Napier City","All dwellings","1308","2012-06-30"
"Central Hawkes Bay District","Houses","1431","2012-06-30"
"Central Hawkes Bay District","All dwellings","1437","2012-06-30"
"New Plymouth District","Houses","1715","2012-06-30"
"New Plymouth District","All dwellings","1737","2012-06-30"
"Stratford District","All dwellings","2503","2012-06-30"
